Team,Wins,Matches,WinRate
Mumbai Indians,144,261,55.2
Chennai Super Kings,138,237,58.2
Kolkata Knight Riders,131,251,52.2
Royal Challengers Bengaluru,123,252,48.8
Sunrisers Hyderabad,117,257,45.5
Delhi Capitals,115,250,46.0
Rajasthan Royals,112,219,51.1
Punjab Kings,112,246,45.5
Gujarat Titans,28,45,62.2
Lucknow Super Giants,24,43,55.8
Rising Pune Supergiant,22,61,36.1
Gujarat Lions,13,30,43.3
Kochi Tuskers Kerala,6,14,42.9
Rising Pune Supergiants,5,14,35.7
